ParticipantID,identifier,n_wordfix,cor_N400meanCPz_surprisal,cor_N400meanCPz_logWordFreq,cor_N400minCPz_surprisal,cor_N400minCPz_logWordFreq,cor_N400minlatCPz_surprisal,cor_N400minlatCPz_logWordFreq,cor_P1_surprisal,cor_N1_surprisal,cor_P1_logWordFreq,cor_N1_logWordFreq,cor_logFixDur_surprisal,logWordFixDur,cor_word_P1mean_logFixDur,cor_word_P1max_logFixDur,cor_word_P1lat_logFixDur,cor_word_N1mean_logFixDur,cor_word_N1min_logFixDur,cor_word_N1lat_logFixDur,cor_word_N400mean_logFixDur,cor_word_N400min_logFixDur,cor_word_N400lat_logFixDur,meansurprisal,meanP1word,meanN1word,maxP1word,latP1word,minN1word,latN1word,meanN400word,minN400word,latN400word,X,Text,PageNum,datetime,unix_start,unix_end,readtime,MW,SVT,Rote_X,Inference_X,Deep_X,Rote_Y,Inference_Y,Rote_Z,Inference_Z,Deep_Z,Rote_D,Inference_D,Page,meanX,meanY,meanZ,n_fix,meanP1,meanN1,maxP1,latP1,minN1,latN1,meanN400,minN400,latN400,cor_P1mean_logFixDur,cor_P1max_logFixDur,cor_P1lat_logFixDur,cor_N1mean_logFixDur,cor_N1min_logFixDur,cor_N1lat_logFixDur,cor_N400mean_logFixDur,cor_N400min_logFixDur,cor_N400lat_logFixDur,logFixDur
EML1_019,Bias0,70,-0.08575051039482322,0.15511553629139122,-0.07700584342554993,0.14656598680617364,0.05270302047567036,-0.05148683309803622,-0.1850771798022612,-0.2353028155214505,0.003946443572752824,0.08605211438466918,0.011454579103509142,-1.6477775850342458,-0.10912712559686866,-0.08349087912720544,2.5538304875937526e-4,-0.15127527532288942,-0.1528973743252126,0.11091441867101874,-0.1300619500818932,-0.07944347940564467,-0.07211849436849442,5.177333385603768,2.3115216343671648e-6,-6.843496062139045e-8,4.789334371145912e-6,90.28571428571429,-5.708373447553578e-6,188.14285714285714,3.020216171719933e-7,-4.175099737995147e-6,402.7142857142857,869,Bias,1,2020-07-24 11:07:16.266,1595610436.266,1595610465.523,29.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,116,2.469772935431335e-6,3.188893076848924e-8,5.061430891845485e-6,90.08620689655173,-5.81864931940706e-6,184.31034482758622,2.3828901914158808e-7,-4.238079892174627e-6,402.1551724137931,-0.0669201327118916,-0.04477789218366377,-0.014066678410531051,-0.13289353888868213,-0.15741259457756596,0.13982844253642004,-0.08038641931079717,-0.03656899486644905,-0.11233712153311896,-1.647285773106845
EML1_019,Bias1,49,0.07882097528726724,0.012318618475681966,0.15846646101452364,0.003917516297902894,0.07179245590681319,-0.06339630360703223,0.027366657743808562,0.056579207129792135,-0.004832349162060666,0.05345489520776661,0.031248652679343233,-1.6598171343257462,-0.16978704722684532,-0.17468619375350763,-0.00820985419580029,-0.2097116690405026,-0.14975205244584988,-0.09841295071931506,-0.12568764879431102,-0.046773256859314924,-0.03378279019266911,5.771926216172929,2.8579401177296028e-6,-4.112160411309792e-8,5.495815409658094e-6,88.16326530612245,-5.938993085332658e-6,186.12244897959184,-2.1608646184162745e-7,-4.823648469448124e-6,397.14285714285717,870,Bias,2,2020-07-24 11:07:45.523,1595610465.523,1595610483.507,17.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,77,2.602067780821783e-6,-1.3754954729021878e-07,5.460445595491543e-6,88.57142857142857,-5.932741707141884e-6,184.15584415584416,3.8267531542553303e-7,-4.13129694411526e-6,403.76623376623377,-0.036851207827310994,-0.0457474259691592,0.07402080508189633,-0.06347596681929649,-0.09680010131770449,-0.015437075181091633,-0.015020028468407559,0.0024278018618973302,-0.034348905083011146,-1.6626607077678206
EML1_019,Bias2,66,-0.29195383000929614,0.20619629426693567,-0.2623539454391304,0.19832688916059596,0.020036691371628394,-0.17786223360342018,0.015647787877973576,-0.12015330116397245,0.1148142245098306,0.21416434385739164,0.06917401301714858,-1.5918618133272227,8.00884842047119e-4,0.037784954716041624,-0.19258679493676728,-0.010560186757241151,-0.03244919005342344,0.04080335208143343,-0.20951383732258214,-0.18435300547677422,-0.09387740054409885,5.382582110211705,3.131910410574193e-6,-5.70872200764169e-7,5.7571865432962164e-6,91.21212121212122,-6.511456911083194e-6,171.96969696969697,-3.233482859007361e-7,-4.638816361819239e-6,401.06060606060606,871,Bias,3,2020-07-24 11:08:03.506,1595610483.507,1595610512.493,28.986,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,2,NA,NA,1,110,3.501212017628411e-6,-9.553264841470246e-9,6.255953518927772e-6,92.72727272727273,-5.821118400632016e-6,178.36363636363637,1.665715583681976e-7,-4.302656075395309e-6,399.45454545454544,0.09439390241727696,0.08962452575238178,-0.09795738498009404,0.03269500810480868,-2.3939000652738765e-4,-0.024154194324213205,-0.24839693684847425,-0.26823940703472027,-0.0522853904611234,-1.6418502775049937
EML1_019,Bias3,52,0.08369434515714781,-0.08394083647103236,-0.020194007778468064,-0.023667726501752234,-0.13810141739425447,-0.015136006455172338,-0.09211271603297612,-0.1256817660681326,0.18743507985660607,0.05181580351648552,0.1572935687143047,-1.6655246100725658,-0.06468447612707563,-0.11551400628572737,0.006629913012158512,0.008481603275159835,-0.08472719856748123,-0.23564243006397603,0.04963282841171532,0.023854553982369294,-0.013393869506560213,5.015830527811956,3.0882314538181025e-6,1.9560313376415637e-7,5.891069509951316e-6,89.23076923076923,-5.338382133859369e-6,170.19230769230768,9.865383412391058e-8,-4.306764461057463e-6,397.6923076923077,872,Bias,4,2020-07-24 11:08:32.493,1595610512.494,1595610536.484,23.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,87,2.7566728764155896e-6,-4.5720668826875954e-7,5.4468425292122255e-6,88.04597701149426,-5.932281700323001e-6,175.4022988505747,2.1785143386833317e-7,-3.868862668263081e-6,401.95402298850576,-0.08176137303014698,-0.14033914072901216,0.03495994009003932,-0.02846829294149347,-0.0863243659723396,-0.13147034082778294,-0.0706420568334864,-0.07429001423187317,-0.07057157151300009,-1.660381339637131
EML1_019,CausalClaims2,60,-0.10636383887250621,-0.13937480869200677,0.0053020215847378845,-0.171049479147589,-0.12014561803169803,0.014658459700208272,-0.11707591959783568,0.017812381498566635,0.03862960094699118,0.06598768996838489,0.2202252733174518,-1.594934005223447,-0.17112992276078395,-0.10604927274891636,-0.25201761464509326,0.08882961848213565,0.022764697880851115,-0.156670146335892,0.043163787274431376,-0.05018311918753073,0.03949632261073722,6.007105386951237,2.5990743154419245e-6,5.904899926466152e-8,5.377186877507361e-6,90,-5.834241576814383e-6,184.16666666666666,-3.9057024005456036e-7,-4.780192823964525e-6,406.5,881,CausalClaims,3,2020-07-24 10:38:29.963,1595608709.964,1595608741.867,31.903,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,2,NA,NA,1,129,2.708337467466485e-6,-1.8819229516908141e-7,5.27338810222663e-6,90.31007751937985,-5.988613727220802e-6,190.15503875968992,1.13150484560314e-7,-4.073636540268575e-6,405.968992248062,-0.022470972783668955,0.03584060109090523,-0.09019589619411868,0.04542260638485905,-0.03517177390631328,-0.14947669576260317,0.021509734043451426,-0.005684556203759592,-0.0423508164775785,-1.7006959339332657
EML1_019,CausalClaims3,54,-0.2305035762321585,0.2760045324171219,-0.18230319583922325,0.21838581653214656,-0.04497963188008127,0.13903425816068102,-0.23556729040690824,-0.10332523891386881,0.19938896463650732,0.14044655230122532,0.11929796999787202,-1.6104230768978136,-0.13624378281891983,-0.12450481195343573,0.09071148191066909,-0.056402763811189485,-0.02703724298975062,-0.09022507665736078,-0.19411200600352257,-0.22156472400998922,0.20907284104684143,6.13590643588557,2.0234136172183267e-6,-6.740507965807926e-7,4.479540794100907e-6,93.33333333333333,-6.618058115231407e-6,182.40740740740742,-8.468624893289842e-7,-4.865182228206802e-6,388.7037037037037,882,CausalClaims,4,2020-07-24 10:39:01.867,1595608741.867,1595608770.756,28.889,0,1,1,1,0,NA,NA,NA,NA,NA,1,0,3,0.75,NA,NA,105,2.6786376848309118e-6,-1.564570316435566e-7,5.439858258603122e-6,91.9047619047619,-6.0320500405816646e-6,179.42857142857142,-3.282643353977686e-7,-4.6403611386863134e-6,392.4761904761905,0.04299008984347535,0.06083909249902729,-0.020748554481076074,-0.02067080460717306,-0.016208935523958596,-0.10694790395888618,0.029321553156675454,-0.0075919582220675555,-0.014472676311658236,-1.5826945918409454
EML1_019,CausalClaims4,157,0.016344438870816373,-0.03949669608796904,0.03285257933254989,-0.0192490699953857,0.08029784241286526,-0.16405651303042715,-0.07245563540219646,0.015559784467656403,-0.018689015698964417,0.008680681187903511,0.07713242655880302,-1.6021343368434409,0.01245195410825102,0.025765275925507987,0.03583622539520937,0.020945300331828908,0.01478960264127108,-0.12222898525831162,-0.062164332871784675,-0.06940416906892503,-0.05298808198839216,5.926074285629639,2.4134518170667893e-6,-3.711608615527663e-7,4.972196682279901e-6,90.70063694267516,-6.185024861199831e-6,183.5031847133758,2.160228294641549e-7,-3.901085030749984e-6,400.828025477707,883,CausalClaims,5,2020-07-24 10:42:11.799,1595608931.799,1595609006.482,74.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,236,2.4744053993279794e-6,-2.894619509499849e-7,4.967220680720377e-6,90.42372881355932,-6.09877260647472e-6,183.22033898305085,9.281963196335535e-8,-4.102128405245327e-6,396.9491525423729,0.0018885867979699918,0.020111273511566684,0.006179195532816514,0.003403934460394278,-0.0047858920047654935,-0.07414298418022953,-0.07228276171596178,-0.07105402115626296,-0.07349790004522781,-1.6051388443336538
EML1_019,CausalClaims5,72,0.07022836638029266,-0.3736879651335783,0.06464665092745736,-0.33448396019187093,-0.19356869191517495,8.452652638601771e-4,0.045337737095351015,0.017754115890028413,0.07925735879047148,0.012177783083261841,0.1448469816585341,-1.5510099488325768,0.14399266452164514,0.15397084946626627,0.023656829510535566,0.08513235010530655,0.05762220588755586,0.008617252809192356,0.04783814393879991,0.0981858823807563,0.041958290095141584,5.278835588532577,2.303174498514972e-6,4.059847635074854e-8,4.795522694974286e-6,91.52777777777777,-5.59057151972377e-6,181.25,3.3472147307672373e-7,-3.656849898954319e-6,416.3888888888889,884,CausalClaims,6,2020-07-24 10:43:26.483,1595609006.483,1595609043.162,36.679,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,5,NA,1,NA,117,2.522769554078584e-6,-1.5131459704914633e-7,4.969546126459622e-6,91.7948717948718,-5.528265939084475e-6,182.64957264957266,2.665183778309371e-7,-3.765733914282368e-6,413.5042735042735,0.05485267955154701,0.06760851644052719,0.09834341146664767,0.052546059252162,0.03674318588777837,-0.03042124135027351,0.04812907234769594,0.10789619304261108,0.08710672914292142,-1.596859312329671
EML1_019,CausalClaims6,83,-0.10856042466891287,-0.0033066724923821998,-0.12950466676658437,-0.001530982145392611,-0.17745233510870786,0.13570996878249472,0.04453942505689561,-0.11107187282509448,-0.0568437145121027,0.19100069987850038,-0.024467884999007723,-1.6331843810012219,-0.02025821705814112,-0.015845955877797222,0.054676247822611664,0.10575467854149068,0.09966859973838095,0.06448592691268162,-0.1807074718793779,-0.10665211232718072,-0.07667267687880872,6.324628725782576,2.739503897468275e-6,-4.586926003633524e-7,5.251539841457622e-6,91.08433734939759,-6.1598769858279145e-6,186.6265060240964,8.697737740530457e-8,-4.387007267005378e-6,390.12048192771084,885,CausalClaims,7,2020-07-24 10:44:03.161,1595609043.162,1595609081.563,38.401,1,0,0,0,1,NA,NA,NA,NA,NA,1,NA,6,0.25,NA,NA,144,2.40694674201467e-6,-5.919343664724412e-7,5.095008163132449e-6,91.875,-6.3665126543059495e-6,183.125,-2.092602880637162e-8,-4.540753391393423e-6,402.0833333333333,0.005449869324544821,0.0016688234800318609,0.1336194618212192,0.07606013050892842,0.04768581269748059,-0.08796702683202463,-0.13277760529410404,-0.11265371182659964,-0.06572300972248261,-1.6331430927783497
EML1_019,CausalClaims7,83,0.21973673378720288,0.15273112933630945,0.22943208005834217,0.15284916795105774,0.11334951671886825,-0.04444750362824899,0.051707784690288076,-0.12512176908819556,0.21612122382764515,0.19424064077956799,-0.15511508679848407,-1.6089724827403356,0.30592178714109164,0.2401036450821731,0.05113557164642763,0.25885007265808113,0.19712588553515728,-0.050545548442573085,0.048482249584191485,-0.009153835327536539,-0.09199053323269564,4.234437604805073,2.299410203671338e-6,-1.8183005196369094e-7,5.024364974216706e-6,90.24096385542168,-6.072652801944222e-6,180.12048192771084,-4.680602468769973e-7,-4.725886515703057e-6,406.9879518072289,886,CausalClaims,8,2020-07-24 10:47:08.578,1595609228.578,1595609271.361,42.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,153,2.5629582404808424e-6,-2.487829557597686e-7,5.153529153378507e-6,91.96078431372548,-6.2545425440716685e-6,177.9738562091503,-1.8561542665220343e-7,-4.331193602207367e-6,408.562091503268,0.1781950693845575,0.14005381518693577,-0.034343800501797694,0.11359071126759235,0.12220600487423511,-0.061681991133274446,-0.017978260425640963,-0.060161460656867734,-0.1841419297580721,-1.5881568412133509
